id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where2|where0|where1|marriage0|marriage1|look0|look1|class
10455793|M|31|160|3|-1.0|1|0|0|0.0|0|5.0|3|1|1|1|22.5|1|0|0|0|0|0|0|4
18423331|M|27|162|1|0.0|1|-1|0|-1.0|0|5.0|1|0|1|1|-1.0|3|0|0|0|0|1|0|1
3267962|M|26|165|3|-1.0|1|-1|0|-1.0|0|5.0|1|0|1|0|24.0|3|0|-1|0|0|0|0|2
16770546|M|30|162|3|-1.0|0|-1|1|0.0|0|2.0|3|0|0|-1|22.5|0|0|0|0|0|1|0|1
1937320|M|28|158|3|0.0|1|0|0|-1.0|0|2.0|1|1|0|0|20.5|1|1|0|0|0|0|0|3
9584265|M|32|171|3|-1.0|1|-1|0|-1.0|0|0.0|1|-1|1|0|-1.0|3|0|0|0|0|0|0|3
18700757|M|33|162|3|0.0|1|-1|0|-1.0|0|5.0|1|0|1|0|20.0|4|0|-1|0|0|0|0|2
1287993|M|36|175|5|0.0|1|1|0|-1.0|0|0.0|0|0|0|0|-1.0|3|1|0|1|0|1|0|3
2603091|M|34|163|3|0.0|1|0|0|0.0|0|3.0|1|1|1|0|25.5|3|1|1|0|0|0|0|4
19026370|M|30|167|2|0.0|0|-1|0|-1.0|0|3.0|1|0|1|0|26.0|4|0|-1|0|0|0|0|2
77791262|M|32|163|3|0.0|1|-1|1|1.0|0|5.0|1|0|0|0|-1.0|3|1|1|0|0|1|1|1
38316668|M|26|163|3|0.0|1|-1|0|-1.0|0|5.0|3|0|1|0|23.0|1|0|0|0|0|0|0|4
1373465|M|43|166|2|0.0|1|1|1|0.0|0|2.0|1|0|0|0|35.0|0|0|0|1|1|0|1|0
34557288|M|29|160|2|0.0|1|0|0|0.0|0|5.0|1|1|1|0|23.5|1|-1|-1|0|0|0|0|2
32873208|M|29|160|5|1.0|0|0|0|0.0|0|0.0|0|0|0|0|-1.0|0|0|0|0|0|0|0|3
20457532|M|35|170|1|-1.0|1|-1|0|-1.0|0|5.0|1|1|0|0|-1.0|2|1|0|1|1|1|0|0
20187975|M|32|160|2|3.0|1|-1|1|0.0|0|5.0|1|0|1|0|22.5|0|0|0|0|0|0|0|4
3081534|M|29|158|2|-1.0|1|-1|0|-1.0|0|3.0|3|0|0|0|21.5|3|1|0|0|0|0|0|4
27669682|M|33|160|1|-1.0|1|0|0|0.0|0|5.0|1|1|1|1|25.0|1|1|0|1|0|0|0|4
3691684|M|31|164|2|0.0|1|-1|1|1.0|1|3.0|3|-1|0|1|30.0|3|1|0|0|0|1|0|1
