id|gender|age|where|height|edu|marriage|salary|nation|job|car|house|look|body|face|hair|weight|smoke|drink|child|parent|bmi
10455793|M|0.0|0,0,0|-1.0|3|0,0|-1|1|教育/培训|NA|NA|NA|NA|0|5|0.0|3|1|1|1|0.0
18423331|M|-1.0|0,0,0|0.0|1|0,0|0|1|财会/审计/统计|-1|0|1,0|-1|NA|5||1|0|1|1|-1.0
3267962|M|-1.0|0,0,0|1.0|3|0,0|-1|1|在校学生|-1|0|NA|-1|0|5|0.0|1|0|1|0|0.0
16770546|M|0.0|0,0,0|0.0|3|0,0|-1|0|自由职业者|-1|1|1,0|0|NA|2|0.0|3|0|0|-1|0.0
1937320|M|-1.0|0,0,0|-1.0|3|0,0|0|1|其他|NA|NA|0,0|-1|0|2|-1.0|1|1|0|0|-1.0
9584265|M|1.0|0,0,0|2.0|3|0,0|-1|1|生物/制药/医疗器械|-1|0|NA|-1|0|NA||1|-1|1|NA|-1.0
18700757|M|1.0|0,0,0|0.0|3|0,0|0|1|其他|-1|0|0,0|-1|NA|5|-1.0|1|0|1|0|-1.0
1287993|M|2.0|0,0,0|2.0|5|1,0|0|1|教育/培训|1|0|1,0|-1|0|NA||NA|NA|NA|NA|-1.0
2603091|M|2.0|0,0,0|1.0|3|0,0|0|1|房地产/装修/物业|NA|NA|NA|0|NA|3|1.0|1|1|1|0|1.0
19026370|M|0.0|0,0,0|2.0|2|0,0|0|0|医疗/护理|-1|0|NA|-1|0|3|1.0|1|0|1|0|1.0
77791262|M|1.0|0,0,0|1.0|3|0,0|0|1|教育/培训|-1|1|1,1|1|0|5||1|0|0|0|-1.0
38316668|M|-1.0|0,0,0|1.0|3|0,0|0|1|医疗/护理|-1|0|NA|-1|0|5|0.0|3|0|1|0|0.0
1373465|M|2.0|0,0,0|2.0|2|1,1|0|1|自由职业者|1|1|0,1|0|0|2|2.0|1|0|0|0|2.0
34557288|M|0.0|0,0,0|-1.0|2|0,0|0|1|财会/审计/统计|NA|0|0,0|0|0|5|0.0|1|1|1|0|0.0
32873208|M|0.0|0,0,0|-1.0|5|0,0|1|0|NA|NA|NA|NA|NA|NA|NA||NA|NA|NA|NA|-1.0
20457532|M|2.0|0,0,0|2.0|1|1,1|-1|1|普通服务行业|-1|0|1,0|-1|0|5||1|1|0|0|-1.0
20187975|M|1.0|0,0,0|-1.0|2|0,0|3|1|采购/贸易|-1|1|0,0|0|0|5|0.0|1|0|1|0|0.0
3081534|M|0.0|0,0,0|-1.0|2|0,0|-1|1|财会/审计/统计|-1|0|0,0|-1|0|3|-1.0|3|0|NA|NA|-1.0
27669682|M|1.0|0,0,0|-1.0|1|1,0|-1|1|其他|NA|0|NA|NA|0|5|1.0|1|1|1|1|1.0
3691684|M|0.0|0,0,0|1.0|2|0,0|0|1|翻译|-1|1|1,0|1|1|3|2.0|3|-1|0|1|2.0
3829796|M|2.0|0,0,0|2.0|3|0,0|0|1|教育/培训|-1|0|NA|1|0|5|2.0|1|1|1|0|2.0
26884062|M|0.0|0,0,0|1.0|2|1,0|0|1|教育/培训|-1|0|1,0|0|0|5||1|1|1|1|-1.0
27629243|M|0.0|0,0,0|1.0|1|1,1|0|0|NA|NA|NA|NA|NA|NA|NA||NA|NA|NA|NA|-1.0
10685936|M|1.0|0,0,0|-1.0|3|0,0|0|1|其他|-1|0|0,1|0|NA|2|-1.0|1|1|1|0|0.0
3374136|M|1.0|0,0,0|0.0|2|0,0|0|1|其他|-1|0|NA|0|NA|NA|1.0|NA|NA|NA|NA|1.0
60281158|M|-1.0|0,0,0|2.0|2|0,0|-1|1|在校学生|-1|0|1,1|-1|1|2|1.0|1|0|0|0|1.0
17702915|M|2.0|0,0,0|-1.0|1|1,0|0|1|普通服务行业|-1|1|1,1|0|0|5|1.0|1|0|0|0|1.0
3947597|M|2.0|0,0,0|-1.0|2|1,0|-1|1|人力资源/行政/后勤|-1|0|NA|0|0|5|0.0|NA|NA|0|NA|0.0
1751573|M|0.0|0,0,0|2.0|3|0,0|0|1|财会/审计/统计|-1|0|NA|NA|NA|NA|2.0|NA|NA|NA|NA|2.0
4994468|M|1.0|0,0,0|1.0|2|0,0|1|0|NA|-1|0|NA|0|NA|5|1.0|1|-1|1|0|1.0
3021220|M|2.0|0,0,0|1.0|3|0,0|0|1|人力资源/行政/后勤|-1|0|NA|0|NA|NA|2.0|NA|NA|NA|NA|2.0
2274872|M|0.0|0,0,0|1.0|2|0,0|0|1|财会/审计/统计|-1|0|0,0|-1|1|5|0.0|3|0|1|1|0.0
29873565|M|-1.0|0,0,0|-1.0|2|0,0|0|1|财会/审计/统计|1|0|0,0|0|0|2|1.0|3|-1|1|1|1.0
66367316|M|-1.0|0,0,0|-1.0|2|0,0|1|1|客户服务/技术支持|-1|0|1,0|0|0|5|0.0|3|1|1|1|0.0
27151835|M|-1.0|0,0,0|2.0|3|0,0|-1|1|教育/培训|NA|0|0,0|0|1|3||NA|NA|1|0|-1.0
36462642|M|-1.0|0,0,0|-1.0|2|0,0|-1|1|财会/审计/统计|-1|0|0,0|-1|0|2|0.0|1|0|1|1|0.0
4068224|M|2.0|0,0,0|0.0|3|1,1|-1|1|教育/培训|-1|0|NA|0|0|3|1.0|1|1|NA|1|1.0
20054165|M|-1.0|0,0,0|2.0|2|0,0|0|1|医疗/护理|-1|0|0,0|0|NA|3||1|1|1|1|-1.0
4657097|M|2.0|0,0,0|-1.0|2|0,0|0|1|计算机/互联网/IT|-1|0|NA|-1|0|5|0.0|3|1|1|0|0.0
4167567|M|2.0|0,0,0|-1.0|3|1,1|-1|1|普通服务行业|-1|1|NA|0|NA|NA|1.0|1|0|0|0|1.0
23806853|M|0.0|0,0,0|2.0|2|0,0|0|1|生产/加工/制造|-1|0|0,0|1|0|3|2.0|1|0|1|1|2.0
3364290|M|0.0|0,0,0|1.0|2|0,0|0|1|医疗/护理|-1|0|1,0|0|0|5|1.0|1|1|1|0|1.0
53339421|M|-1.0|0,0,0|2.0|3|0,0|0|0|NA|NA|NA|0,0|-1|1|5|1.0|3|1|1|0|1.0
3937091|M|0.0|0,0,0|-1.0|3|0,0|1|1|教育/培训|-1|1|NA|-1|0|5|-1.0|1|-1|1|0|-1.0
2799932|M|1.0|0,0,0|2.0|3|0,0|-1|1|其他|-1|1|NA|-1|1|5|1.0|-4|-1|0|-1|1.0
11860454|M|2.0|0,0,0|0.0|2|0,0|0|1|销售|-1|0|NA|-1|NA|NA|1.0|1|1|NA|NA|1.0
3169001|M|2.0|0,0,0|-1.0|2|1,1|-1|1|其他|-1|0|1,0|-1|0|5|0.0|1|-1|0|0|0.0
5110844|M|0.0|0,0,0|2.0|3|0,0|1|1|房地产/装修/物业|1|0|0,1|-1|0|5|2.0|3|-1|1|0|2.0
59172990|M|-1.0|0,0,0|-1.0|2|0,0|0|1|客户服务/技术支持|-1|0|0,0|-1|0|5|0.0|1|1|1|0|0.0
3386828|M|2.0|0,0,0|-1.0|2|1,1|-1|1|私营业主|-1|1|0,1|0|0|5|2.0|1|1|-1|-1|2.0
2285152|M|2.0|0,0,0|1.0|5|0,0|1|1|教育/培训|-1|0|1,0|0|0|5|2.0|3|1|1|0|2.0
1880226|M|-1.0|0,0,0|-1.0|3|0,0|-1|1|普通服务行业|-1|0|NA|0|NA|NA|0.0|NA|NA|NA|NA|0.0
1797963|M|0.0|0,0,0|1.0|3|0,0|0|1|教育/培训|-1|0|NA|0|NA|NA|1.0|NA|NA|NA|NA|1.0
3370581|M|2.0|0,0,0|1.0|2|0,0|1|1|人力资源/行政/后勤|-1|1|NA|1|NA|NA|1.0|NA|NA|NA|NA|1.0
13560245|M|-1.0|0,0,0|-1.0|1|0,0|-1|1|计算机/互联网/IT|-1|0|0,0|0|0|NA|2.0|3|1|NA|0|2.0
3384952|M|0.0|0,0,0|1.0|3|0,0|-1|1|NA|-1|1|NA|1|NA|NA|2.0|NA|NA|NA|NA|2.0
2647158|M|1.0|0,0,0|1.0|3|0,0|-1|1|NA|NA|NA|NA|NA|NA|NA||NA|NA|NA|NA|-1.0
14135047|M|0.0|0,0,0|1.0|3|0,0|-1|1|金融/证券/投资/保险|-1|0|0,1|2|0|3|2.0|1|1|1|0|2.0
27405014|M|-1.0|0,0,0|-1.0|3|0,0|-1|1|金融/证券/投资/保险|-1|1|0,0|-1|0|5||3|0|0|1|-1.0
1547744|M|1.0|0,0,0|2.0|2|0,0|-1|1|财会/审计/统计|-1|0|0,1|1|0|5|2.0|3|0|0|0|2.0
25194842|M|2.0|0,0,0|1.0|2|1,1|-1|1|NA|NA|0|1,1|0|NA|5||1|1|-1|NA|-1.0
12316207|M|1.0|0,0,0|-1.0|2|0,0|0|1|销售|-1|0|0,1|0|0|5|2.0|1|-1|1|0|2.0
2076901|M|2.0|0,0,0|1.0|4|0,0|0|1|人力资源/行政/后勤|-1|0|NA|0|NA|NA|1.0|NA|NA|NA|NA|1.0
35272207|M|-1.0|0,0,0|-1.0|1|0,0|-1|1|自由职业者|-1|0|0,0|1|0|5|1.0|1|-1|1|-1|1.0
55858131|M|-1.0|0,0,0|-1.0|2|0,0|1|0|NA|-1|0|1,1|0|NA|NA||-1|0|1|0|-1.0
1437028|M|0.0|0,0,0|2.0|2|0,0|-1|1|财会/审计/统计|-1|0|NA|1|NA|NA|2.0|NA|NA|NA|NA|2.0
3971741|M|0.0|0,0,0|2.0|2|0,0|0|1|设计/创意|-1|0|NA|-1|NA|NA|1.0|1|NA|NA|1|1.0
32784593|M|-1.0|0,0,0|-1.0|2|0,0|-1|1|NA|-1|0|0,0|-1|0|5|-1.0|1|0|1|1|-1.0
83559062|M|2.0|0,0,0|-1.0|3|1,0|0|1|普通服务行业|-1|0|0,1|1|0|5|2.0|NA|1|1|-1|2.0
31214301|M|-1.0|0,0,0|-1.0|1|0,0|-1|0|销售|NA|NA|0,0|NA|NA|2||1|NA|1|0|-1.0
16877909|M|-1.0|0,0,0|-1.0|2|0,0|0|1|质控/安检|-1|0|0,0|1|0|2|2.0|1|1|0|-1|2.0
4150686|M|0.0|0,0,0|1.0|2|0,0|0|1|其他|-1|0|0,0|0|0|5|2.0|NA|-1|NA|NA|2.0
14430745|M|0.0|0,0,0|-1.0|2|0,0|-1|1|生产/加工/制造|-1|0|0,0|NA|NA|2|0.0|1|NA|1|1|0.0
21342249|M|0.0|0,0,0|-1.0|1|1,1|0|1|销售|NA|0|0,0|0|0|3|-1.0|1|0|0|0|-1.0
15158079|M|2.0|0,0,0|1.0|2|0,0|0|1|NA|NA|NA|1,0|-1|NA|NA|1.0|3|NA|1|NA|1.0
17620055|M|2.0|0,0,0|1.0|1|1,0|-1|1|自由职业者|-1|0|0,1|-1|0|5|1.0|1|1|0|0|1.0
7930556|M|-1.0|0,0,0|2.0|3|0,0|-1|1|在校学生|-1|0|NA|0|0|3|1.0|1|1|0|0|1.0
5093515|M|0.0|0,0,0|-1.0|2|0,0|0|0|设计/创意|-1|0|0,1|0|0|2|0.0|3|1|0|0|0.0
24270137|M|1.0|0,0,0|1.0|2|0,0|-1|1|销售|NA|NA|NA|NA|NA|NA||NA|NA|NA|NA|-1.0
39219801|M|-1.0|0,0,0|-1.0|2|0,0|0|1|房地产/装修/物业|-1|0|0,0|0|0|3|2.0|3|0|1|0|2.0
14257041|M|-1.0|0,0,0|2.0|2|0,0|0|1|人力资源/行政/后勤|-1|0|0,0|0|0|3|1.0|3|0|1|1|1.0
1307741|M|1.0|0,0,0|-1.0|3|0,0|-1|1|采购/贸易|-1|0|NA|0|NA|5|0.0|3|1|1|0|0.0
1563600|M|2.0|0,0,0|-1.0|3|0,0|1|1|其他|-1|0|NA|NA|NA|NA|0.0|NA|NA|NA|NA|0.0
1750882|M|-1.0|0,0,0|-1.0|2|0,0|-1|0|餐饮/旅游|-1|1|0,0|0|0|3|0.0|NA|NA|1|1|0.0
11545136|M|0.0|0,0,0|-1.0|2|0,0|0|1|教育/培训|-1|1|NA|0|0|5|1.0|3|1|1|0|1.0
13689609|M|0.0|0,0,0|-1.0|3|0,0|0|1|财会/审计/统计|1|0|0,0|0|0|5|0.0|1|1|1|-1|0.0
38422295|M|0.0|0,0,0|0.0|2|0,0|0|0|私营业主|1|0|0,0|0|0|2|0.0|1|0|1|0|0.0
18643682|M|0.0|0,0,0|2.0|3|0,0|0|1|教育/培训|-1|0|0,1|-1|0|5|1.0|1|-1|1|-1|1.0
4243003|M|-1.0|0,0,0|-1.0|2|0,0|-1|1|其他|-1|0|NA|0|0|5|0.0|3|-1|1|1|0.0
15015004|M|0.0|0,0,0|-1.0|1|0,0|0|0|NA|NA|NA|NA|NA|NA|NA|0.0|NA|NA|NA|NA|0.0
1490090|M|2.0|0,0,0|-1.0|3|0,0|-1|1|财会/审计/统计|-1|0|NA|NA|NA|NA|0.0|NA|NA|NA|NA|0.0
1313014|M|2.0|0,0,0|2.0|2|1,0|-1|1|普通服务行业|-1|0|NA|NA|NA|NA|2.0|NA|NA|NA|NA|2.0
1618208|M|2.0|0,0,0|-1.0|2|0,0|-1|1|其他|-1|0|0,1|0|0|2|1.0|3|1|1|1|1.0
79521002|M|0.0|0,0,0|1.0|2|0,0|0|1|财会/审计/统计|NA|0|NA|NA|NA|5|2.0|NA|NA|NA|0|2.0
4951421|M|0.0|0,0,0|-1.0|3|0,0|0|1|财会/审计/统计|-1|0|NA|0|0|5|0.0|3|1|1|1|0.0
11745172|M|-1.0|0,0,0|2.0|2|0,0|-1|1|自由职业者|NA|0|NA|NA|0|5|2.0|1|-1|1|0|2.0
4774063|M|1.0|0,0,0|-1.0|3|0,0|0|1|金融/证券/投资/保险|-1|NA|1,0|0|0|2|-1.0|1|1|1|0|-1.0
1962497|M|2.0|0,0,0|-1.0|2|0,0|1|1|其他|-1|1|NA|-1|NA|NA|0.0|NA|1|NA|NA|0.0
57949650|M|2.0|0,0,0|-1.0|1|0,0|-1|0|自由职业者|-1|0|NA|-1|0|1|0.0|3|-1|1|0|0.0
2895286|M|0.0|0,0,0|0.0|2|0,0|0|1|金融/证券/投资/保险|-1|0|0,1|1|0|5|2.0|3|1|1|0|2.0
20501679|M|0.0|0,0,0|-1.0|3|0,0|0|1|其他|NA|0|NA|NA|NA|NA||NA|1|NA|NA|-1.0
15559007|M|-1.0|0,0,0|2.0|3|0,0|0|1|其他|-1|0|0,0|NA|0|3||1|0|1|0|-1.0
20662882|M|2.0|0,0,0|-1.0|3|1,1|0|1|教育/培训|-1|0|0,1|0|NA|5||3|1|0|1|-1.0
16552089|M|1.0|0,0,0|0.0|3|1,1|0|1|教育/培训|NA|0|1,0|0|0|3|1.0|NA|0|NA|NA|1.0
2538455|M|2.0|0,0,0|0.0|5|1,0|1|1|采购/贸易|-1|1|0,1|0|0|5|0.0|3|NA|1|NA|0.0
