id|gender_x|age_x|height_x|edu_x|salary_x|nation_x|car_x|house_x|body_x|face_x|hair_x|smoke_x|drink_x|child_x|parent_x|bmi_x|where0_x|where1_x|marriage0_x|marriage1_x|look0_x|look1_x|where2_x|gender_y|age_y|height_y|edu_y|salary_y|nation_y|car_y|house_y|body_y|face_y|hair_y|smoke_y|drink_y|child_y|parent_y|bmi_y|where0_y|where1_y|marriage0_y|marriage1_y|look0_y|look1_y|where2_y
7562976|F|31|160|3|-1.0|1|0|0|0.0|0|5|3|1|1|1|22.5|0|0|0|0|0|0|1|M|32|178|0|-1|1|-1|0|2.0|1|0|-1|-1|1|0|21.666666666666668|0|0|0|0|0|0|1
18239775|F|33|162|3|0.0|1|-1|0|-1.0|0|5|1|0|1|0|20.0|0|-1|0|0|0|0|4|M|32|170|0|0|0|0|0|0.0|0|0|0|0|0|0|-1.0|0|-1|0|0|0|0|4
20641755|F|34|163|3|0.0|1|0|0|0.0|0|3|1|1|1|0|25.5|1|1|0|0|0|0|3|M|33|176|0|0|1|-1|1|0.0|0|-1|1|0|1|1|-1.0|1|1|0|0|1|1|3
47618033|F|26|163|3|0.0|1|-1|0|-1.0|0|5|3|0|1|0|23.0|0|0|0|0|0|0|1|M|28|180|1|0|1|1|1|2.0|1|0|-2|-1|1|0|28.333333333333332|0|0|0|0|1|1|1
3500250|F|43|166|2|0.0|1|1|1|0.0|0|2|1|0|0|0|35.0|0|0|1|1|0|1|0|M|47|178|-1|-1|1|0|0|1.0|1|0|0|0|0|0|28.333333333333332|0|0|1|1|1|1|0
32877215|F|29|160|5|1.0|0|0|0|0.0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|0|M|33|181|3|0|0|0|0|0.0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|0
3008849|F|32|160|2|3.0|1|-1|1|0.0|0|5|1|0|1|0|22.5|0|0|0|0|0|0|0|M|35|173|2|1|1|-1|0|0.0|0|0|3|0|1|1|35.0|0|0|1|0|0|0|0
1478373|F|29|158|2|-1.0|1|-1|0|-1.0|0|3|3|0|0|0|21.5|1|0|0|0|0|0|3|M|33|168|0|0|1|-1|0|0.0|0|0|-1|0|1|0|29.0|1|0|0|0|0|0|3
17291605|F|33|160|1|-1.0|1|0|0|0.0|0|5|1|1|1|1|25.0|1|0|1|0|0|0|1|M|42|172|-1|1|1|0|0|0.0|1|0|-4|0|0|0|29.0|-1|-1|0|0|0|1|1
2544140|F|34|167|3|0.0|1|-1|0|1.0|0|5|1|1|1|0|31.0|0|0|0|0|0|0|0|M|36|176|0|0|1|0|0|0.0|0|0|0|0|0|0|-1.0|0|0|1|0|0|0|0
