id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where0|where1|marriage0|marriage1|look0|look1|where2
42881477|M|26|170|0|1|1|-1|1|0|1|0|1|0|1|-1|32.5|-1|-1|0|0|1|1|1
87339868|M|28|173|0|1|1|-1|0|0|0|0|3|0|0|1|35.0|0|1|0|0|0|0|3
1680359|M|32|176|-1|1|1|1|0|0|0|-1|-1|-1|1|0|26.666666666666668|0|0|0|0|0|1|0
20192188|M|29|163|-1|0|1|-1|0|2|0|0|3|0|1|1|-1.0|0|-1|0|0|1|1|1
30529381|M|29|170|0|2|1|1|0|2|1|0|-4|0|0|-1|35.0|-1|1|1|0|0|0|2
64402484|M|31|170|0|1|1|1|1|0|0|0|-1|0|1|0|31.0|0|1|1|0|1|1|1
14789227|M|32|175|-2|0|1|-1|0|0|0|-1|1|0|1|-1|21.666666666666668|1|1|0|0|0|0|2
64548312|M|26|172|0|1|1|1|0|0|0|0|3|-1|1|1|31.5|-1|1|0|0|1|1|3
3794005|M|32|171|0|-1|1|-1|0|0|0|0|0|0|0|0|30.0|-1|-1|0|0|0|0|1
18954716|M|32|175|-1|-1|1|-1|0|2|1|0|-2|-1|1|1|25.0|0|0|0|0|1|1|3
75385142|M|29|169|0|0|1|-1|0|2|0|-1|1|0|0|0|32.0|0|-1|0|0|0|1|4
24981231|M|33|175|0|2|1|-1|1|0|0|0|1|1|1|0|21.666666666666668|0|0|0|0|1|1|0
11617128|M|32|180|0|0|1|-1|0|-1|0|-1|1|0|0|1|21.666666666666668|0|-1|0|0|1|1|1
4961178|M|44|160|-1|0|1|-1|0|0|1|-1|-1|-1|0|0|27.0|1|0|1|1|1|1|3
12339648|M|41|180|-1|1|1|-1|0|0|1|-1|-1|-1|1|0|23.333333333333332|0|0|0|0|1|1|0
4201476|M|36|176|-1|0|1|-1|0|-1|1|0|3|0|1|1|22.666666666666668|0|-1|0|0|0|0|4
1414383|M|35|176|2|0|1|-1|1||0|0|0|0|0|0|22.0|0|1|0|0|0|0|4
36284832|M|33|170|0|1|1|1|1|2|1|-1|-4|-1|1|0|-1.0|1|0|0|0|1|1|3
92230581|M|30|168|0|1|1|-1|0|0|1|0|-1|0|1|1|30.0|1|0|0|0|0|0|3
29916787|M|34|170|-1|0|1|-1|0|0|0|0|-4|-1|1|1|30.0|1|0|0|0|0|1|1
1281088|M|41|176|-1|-1|0|0|0|0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|0
1879423|M|31|178|-1|-1|1|-1|0|-1|0|0|0|0|0|0|20.666666666666668|-1|1|0|0|0|0|3
2003991|M|36|173|-1|0|1|-1|0|-1|0|0|-1|-1|1|1|29.0|0|1|1|0|0|0|3
22570156|M|33|163|0|1|1|-1|1|2|1|0|3|0|1|1|32.5|0|-1|0|0|0|0|4
102627141|M|32|172|-1|1|1|-1|1|2|1|0|-4|0|1|0|42.5|0|0|1|0|1|1|0
4312430|M|39|176|0|3|0|1|0|0|0|0|3|-1|1|0|23.666666666666668|0|0|1|0|0|0|0
55065446|M|47|174|0|0|1|-1|0|-1|1|-1|3|0|0|1|20.0|-1|-1|1|1|1|1|1
17947109|M|34|170|0|0|0|0|0|0|0|0|3|0|-1|0|-1.0|0|0|0|0|1|1|0
1802618|M|32|173|0|2|1|1|1|0|1|0|1|0|1|0|32.5|1|0|0|0|1|1|3
15302689|M|35|183|-2|0|1|0|1|0|1|-2|1|0|0|0|26.0|0|0|0|0|0|0|0
69269248|M|25|165|-2|0|1|-1|0|0|0|-1|-4|1|1|0|30.0|0|0|0|0|0|0|0
13099234|M|33|170|1|1|1|-1|0|2|1|-1|1|0|1|0|35.0|0|-1|0|0|0|0|3
1407677|M|35|185|2|0|1|-1|0|0|0|0|0|0|0|0|25.0|1|1|0|0|0|0|1
32297128|M|32|178|-1|1|0|0|1|0|0|-1|-4|-1|1|1|25.0|1|1|0|0|0|1|3
1515514|M|36|175|0|0|1|1|1|-1|0|0|0|0|0|0|20.0|0|0|0|0|0|0|0
31353186|M|28|180|0|0|1|-1|0|0|1|0|-2|-1|1|0|23.333333333333332|0|1|0|0|1|1|3
49173437|M|25|173|0|1|1|-1|0|2|0|-1|3|0|1|0|-1.0|-1|-1|0|0|0|1|3
2649307|M|53|174|2|1|1|-1|1|2|1|0|1|1|0|0|26.666666666666668|0|-1|1|1|0|1|4
3672655|M|49|171|0|0|1|-1|0|2|1|-1|-4|0|-1|0|40.5|1|1|1|1|0|0|2
2859439|M|40|180|0|0|1|-1|1|0|0|0|0|0|0|0|28.0|-1|-1|0|0|0|0|3
16498138|M|31|188|1|3|1|1|1|-1|1|0|-2|0|1|1|25.0|0|-1|0|0|1|1|4
2611795|M|35|170|-1|0|1|-1|1|0|0|0|1|1|1|0|30.0|-1|-1|0|0|0|0|1
23706043|M|34|178|0|0|1|-1|0|0|1|0|1|-1|1|1|23.333333333333332|0|-1|0|0|0|1|1
12700693|M|42|169|-2|-1|0|-1|0|0|1|-1|1|0|0|0|32.5|0|0|1|1|0|1|2
3674920|M|59|172|0|0|1|1|1|2|1|0|3|1|0|0|32.5|0|0|1|0|0|1|0
11713995|M|46|174|0|1|1|1|0|2|0|0|-1|1|0|0|25.0|1|0|1|1|0|0|3
52475344|M|29|175|-1|0|1|1|1|0|0|0|3|0|1|0|22.666666666666668|1|0|0|0|1|1|2
11848856|M|28|170|-1|0|1|0|0|0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|1
48086210|M|56|168|-2|0|1|-1|1|0|0|0|-1|0|-1|0|36.0|0|0|1|0|0|0|0
45178347|M|27|172|0|1|1|-1|0|0|0|-1|1|0|1|0|29.0|1|0|0|0|1|1|3
29300168|M|30|175|-1|1|0|-1|0|0|1|0|0|1|1|-1|21.666666666666668|0|-1|0|0|0|1|1
25710250|M|35|170|-1|-1|1|-1|0|2|0|-1|-4|-1|0|0|35.0|0|0|1|1|1|1|3
1438256|M|35|170|-1|1|1|-1|0||0|0|0|0|0|0|30.0|0|-1|0|0|0|0|4
13078688|M|32|168|0|0|1|-1|0|0|1|0|3|0|1|0|30.0|1|0|0|0|1|1|3
33664715|M|36|170|-1|-1|0|-1|0|2|1|-1|-5|-4|-1|0|45.0|0|-1|1|1|1|0|1
