id|gender|age|height|edu|salary|nation|car|house|body|face|hair|smoke|drink|child|parent|bmi|where0|where1|marriage0|marriage1|look0|look1|where2
10455793|F|31|160|3|-1|1|0|0|0|0|5|3|1|1|1|22.5|0|0|0|0|0|0|1
18423331|F|27|162|1|0|1|-1|0|-1|0|5|1|0|1|1|-1.0|0|0|0|0|1|0|3
3267962|F|26|165|3|-1|1|-1|0|-1|0|5|1|0|1|0|24.0|0|-1|0|0|0|0|3
16770546|F|30|162|3|-1|0|-1|1|0|0|2|3|0|0|-1|22.5|0|0|0|0|1|0|0
1937320|F|28|158|3|0|1|0|0|-1|0|2|1|1|0|0|20.5|1|0|0|0|0|0|1
9584265|F|32|171|3|-1|1|-1|0|-1|0|0|1|-1|1|0|-1.0|0|0|0|0|0|0|3
18700757|F|33|162|3|0|1|-1|0|-1|0|5|1|0|1|0|20.0|0|-1|0|0|0|0|4
1287993|F|36|175|5|0|1|1|0|-1|0|0|0|0|0|0|-1.0|1|0|1|0|1|0|3
2603091|F|34|163|3|0|1|0|0|0|0|3|1|1|1|0|25.5|1|1|0|0|0|0|3
19026370|F|30|167|2|0|0|-1|0|-1|0|3|1|0|1|0|26.0|0|-1|0|0|0|0|4
77791262|F|32|163|3|0|1|-1|1|1|0|5|1|0|0|0|-1.0|1|1|0|0|1|1|3
38316668|F|26|163|3|0|1|-1|0|-1|0|5|3|0|1|0|23.0|0|0|0|0|0|0|1
1373465|F|43|166|2|0|1|1|1|0|0|2|1|0|0|0|35.0|0|0|1|1|0|1|0
34557288|F|29|160|2|0|1|0|0|0|0|5|1|1|1|0|23.5|-1|-1|0|0|0|0|1
32873208|F|29|160|5|1|0|0|0|0|0|0|0|0|0|0|-1.0|0|0|0|0|0|0|0
20457532|F|35|170|1|-1|1|-1|0|-1|0|5|1|1|0|0|-1.0|1|0|1|1|1|0|2
20187975|F|32|160|2|3|1|-1|1|0|0|5|1|0|1|0|22.5|0|0|0|0|0|0|0
3081534|F|29|158|2|-1|1|-1|0|-1|0|3|3|0|0|0|21.5|1|0|0|0|0|0|3
27669682|F|33|160|1|-1|1|0|0|0|0|5|1|1|1|1|25.0|1|0|1|0|0|0|1
3691684|F|31|164|2|0|1|-1|1|1|1|3|3|-1|0|1|30.0|1|0|0|0|1|0|3
3829796|F|34|167|3|0|1|-1|0|1|0|5|1|1|1|0|31.0|0|0|0|0|0|0|0
26884062|F|30|163|2|0|1|-1|0|0|0|5|1|1|1|1|-1.0|0|1|1|0|1|0|2
27629243|F|31|163|1|0|0|0|0|0|0|0|0|0|0|0|-1.0|0|1|1|0|0|0|1
10685936|F|33|157|3|0|1|-1|0|0|0|2|1|1|1|0|22.0|0|-1|0|0|0|1|3
3374136|F|33|162|2|0|1|-1|0|0|0|0|0|0|0|0|25.0|-1|-1|0|0|0|0|3
60281158|F|21|170|2|-1|1|-1|0|-1|1|2|1|0|0|0|25.5|-1|-1|0|0|1|1|1
17702915|F|36|157|1|0|1|-1|1|0|0|5|1|0|0|0|25.0|0|-1|1|0|1|1|1
3947597|F|38|155|2|-1|1|-1|0|0|0|5|0|0|0|0|24.5|0|0|1|0|0|0|0
1751573|F|30|170|3|0|1|-1|0|0|0|0|0|0|0|0|27.5|0|0|0|0|0|0|0
4994468|F|33|165|2|1|0|-1|0|0|0|5|1|-1|1|0|26.0|0|0|0|0|0|0|0
3021220|F|35|165|3|0|1|-1|0|0|0|0|0|0|0|0|27.5|1|1|0|0|0|0|3
2274872|F|29|165|2|0|1|-1|0|-1|1|5|3|0|1|1|23.5|0|-1|0|0|0|0|4
29873565|F|27|154|2|0|1|1|0|0|0|2|3|-1|1|1|26.0|0|0|0|0|0|0|0
